["op_0","LEFT"]
["op_1","RIGHT"]
["op_2","RIGHT"]
("op_0","mode 1",1,"op_0",1,"transmission")
(1000, 3)
1.9170543032257344e+14 2.4505222559017513e-02 -3.4489937148486216e-01
1.9170981681603509e+14 2.4419488994734596e-02 -3.3553844167790614e-01
1.9171420330949675e+14 2.4333999690468365e-02 -3.2615923350431408e-01
1.9171858980295841e+14 2.4248759002840816e-02 -3.1676164057783923e-01
1.9172297629642006e+14 2.4163771287073268e-02 -3.0734555776993111e-01
1.9172736278988172e+14 2.4079040896679813e-02 -2.9791088126792403e-01
1.9173174928334338e+14 2.3994572183156922e-02 -2.8845750863465153e-01
1.9173613577680503e+14 2.3910369495653686e-02 -2.7898533886894672e-01
1.9174052227026669e+14 2.3826437180642739e-02 -2.6949427246768454e-01
1.9174490876372838e+14 2.3742779581572629e-02 -2.5998421148847722e-01
1.9174929525719003e+14 2.3659401038517894e-02 -2.5045505961455561e-01
1.9175368175065169e+14 2.3576305887800630e-02 -2.4090672221906964e-01
1.9175806824411334e+14 2.3493498461628088e-02 -2.3133910643239497e-01
1.9176245473757500e+14 2.3410983087689474e-02 -2.2175212120921783e-01
1.9176684123103666e+14 2.3328764088769487e-02 -2.1214567739779897e-01
1.9177122772449831e+14 2.3246845782319413e-02 -2.0251968780946045e-01
1.9177561421795997e+14 2.3165232480045050e-02 -1.9287406728970330e-01
1.9178000071142162e+14 2.3083928487463792e-02 -1.8320873279042488e-01
1.9178438720488328e+14 2.3002938103456889e-02 -1.7352360344314849e-01
1.9178877369834494e+14 2.2922265619806721e-02 -1.6381860063323866e-01
1.9179316019180662e+14 2.2841915320717093e-02 -1.5409364807494713e-01
1.9179754668526828e+14 2.2761891482332503e-02 -1.4434867188862557e-01
1.9180193317872994e+14 2.2682198372228780e-02 -1.3458360067729028e-01
1.9180631967219159e+14 2.2602840248902030e-02 -1.2479836560548789e-01
1.9181070616565325e+14 2.2523821361233230e-02 -1.1499290047833974e-01
1.9181509265911491e+14 2.2445145947952338e-02 -1.0516714182238050e-01
1.9181947915257656e+14 2.2366818237075339e-02 -9.5321028966240257e-02
